Data,TempEquip1 (C/10),UmdEquip1 (UR/10),DewEquip1 (C/10),TempEquip2 (C/10),UmdEquip2 (UR/10),DewEquip2 (C/10),TempExame1 (C/10),UmdExame1 (UR/10),DewExame1 (C/10),TempExame2 (C/10),UmdExame2 (UR/10),
231023212453,202,510,97,0,0,0,204,501,96,0,0,0
231023212505,202,509,97,0,0,0,204,503,96,0,0,0
231023212516,201,508,96,0,0,0,204,502,96,0,0,0
231023212527,201,507,96,0,0,0,203,499,95,0,0,0
231023212538,201,507,96,0,0,0,203,501,95,0,0,0
231023212549,201,507,96,0,0,0,203,501,95,0,0,0
231023212601,201,507,96,0,0,0,203,504,95,0,0,0
231023212612,201,507,96,0,0,0,203,498,95,0,0,0
231023212623,201,508,96,0,0,0,203,502,95,0,0,0
231023212634,201,509,96,0,0,0,203,503,95,0,0,0
231023212646,201,510,96,0,0,0,203,501,95,0,0,0
231023212657,201,511,96,0,0,0,203,501,95,0,0,0
231023212708,201,511,96,0,0,0,203,502,95,0,0,0
231023212719,201,514,96,0,0,0,203,504,95,0,0,0
231023212730,201,516,99,0,0,0,203,504,95,0,0,0
231023212742,201,519,99,0,0,0,203,505,98,0,0,0
231023212753,201,521,99,0,0,0,203,501,95,0,0,0
231023212804,201,522,99,0,0,0,202,501,95,0,0,0
231023212934,201,525,102,0,0,0,202,508,97,0,0,0
231023212945,201,525,102,0,0,0,202,508,97,0,0,0
231023212956,202,524,100,0,0,0,202,510,97,0,0,0
231023213007,202,524,100,0,0,0,202,509,97,0,0,0
231023213018,202,523,100,0,0,0,202,509,97,0,0,0
231023213030,202,521,100,0,0,0,202,510,97,0,0,0
231023213041,202,520,100,0,0,0,202,509,97,0,0,0
231023213052,202,518,100,0,0,0,202,508,97,0,0,0
231023213103,202,518,100,0,0,0,202,511,97,0,0,0
231023213114,202,516,100,0,0,0,202,511,97,0,0,0
231023213126,202,515,100,0,0,0,202,514,97,0,0,0
231023213137,202,512,97,0,0,0,202,513,97,0,0,0
231023213148,202,510,97,0,0,0,202,512,97,0,0,0
231023213159,202,509,97,0,0,0,202,511,97,0,0,0
231023213211,202,508,97,0,0,0,202,511,97,0,0,0
231023213222,202,507,97,0,0,0,201,512,96,0,0,0
231023213233,202,505,97,0,0,0,201,515,99,0,0,0
231023213244,202,505,97,0,0,0,201,514,96,0,0,0
231023213255,202,504,94,0,0,0,201,513,96,0,0,0
231023213307,202,504,94,0,0,0,201,512,96,0,0,0
231023213436,202,500,94,0,0,0,201,516,99,0,0,0
231023213447,202,503,94,0,0,0,201,517,99,0,0,0
231023213459,202,503,94,0,0,0,201,518,99,0,0,0
231023213510,202,505,97,0,0,0,201,515,99,0,0,0
231023213521,202,506,97,0,0,0,201,517,99,0,0,0
231023213532,202,509,97,0,0,0,201,517,99,0,0,0
231023213543,202,512,97,0,0,0,201,517,99,0,0,0
231023213555,202,514,97,0,0,0,201,518,99,0,0,0
231023213606,202,517,100,0,0,0,201,519,99,0,0,0
231023213617,202,518,100,0,0,0,201,519,99,0,0,0
231023213628,202,520,100,0,0,0,201,521,99,0,0,0
231023213639,202,521,100,0,0,0,201,523,99,0,0,0
231023213651,202,524,100,0,0,0,201,523,99,0,0,0
231023213702,202,524,100,0,0,0,201,523,99,0,0,0
231023213713,202,526,102,0,0,0,201,521,99,0,0,0
231023213724,202,527,102,0,0,0,201,521,99,0,0,0
231023213735,202,527,102,0,0,0,201,525,102,0,0,0
231023213747,202,528,102,0,0,0,201,522,99,0,0,0
231023213758,202,528,102,0,0,0,201,525,102,0,0,0
231023213809,202,528,102,0,0,0,201,527,102,0,0,0
231023213928,202,522,100,0,0,0,201,527,102,0,0,0
231023213939,201,521,99,0,0,0,201,525,102,0,0,0
231023213950,201,520,99,0,0,0,201,527,102,0,0,0
231023214002,201,518,99,0,0,0,201,527,102,0,0,0
231023214013,201,518,99,0,0,0,201,526,102,0,0,0
231023214024,201,517,99,0,0,0,201,521,99,0,0,0
231023214035,201,516,99,0,0,0,201,518,99,0,0,0
231023214046,201,514,96,0,0,0,201,513,96,0,0,0
231023214058,201,513,96,0,0,0,201,517,99,0,0,0
231023214109,201,511,96,0,0,0,201,517,99,0,0,0
231023214120,201,511,96,0,0,0,201,515,99,0,0,0
231023214131,201,510,96,0,0,0,201,516,99,0,0,0
231023214142,201,509,96,0,0,0,201,517,99,0,0,0
231023214154,201,508,96,0,0,0,201,512,96,0,0,0
231023214205,201,507,96,0,0,0,201,511,96,0,0,0
231023214216,201,507,96,0,0,0,201,512,96,0,0,0
231023214227,201,507,96,0,0,0,201,514,96,0,0,0
231023214238,201,507,96,0,0,0,201,518,99,0,0,0
231023214250,201,507,96,0,0,0,201,516,99,0,0,0
231023214301,201,507,96,0,0,0,201,516,99,0,0,0
231023214431,201,519,99,0,0,0,202,512,97,0,0,0
231023214442,201,520,99,0,0,0,202,512,97,0,0,0
231023214453,201,521,99,0,0,0,202,512,97,0,0,0
231023214504,201,522,99,0,0,0,202,517,100,0,0,0
231023214515,201,522,99,0,0,0,202,518,100,0,0,0
231023214527,201,523,99,0,0,0,203,514,98,0,0,0
231023214538,201,523,99,0,0,0,203,514,98,0,0,0
231023214549,201,524,99,0,0,0,203,517,101,0,0,0
231023214600,201,524,99,0,0,0,203,517,101,0,0,0
231023214611,201,524,99,0,0,0,203,520,101,0,0,0
231023214623,202,524,100,0,0,0,204,518,102,0,0,0
231023214634,202,524,100,0,0,0,204,518,102,0,0,0
231023214645,202,524,100,0,0,0,204,519,102,0,0,0
231023214656,202,522,100,0,0,0,204,516,102,0,0,0
231023214708,202,522,100,0,0,0,204,513,99,0,0,0
231023214719,202,520,100,0,0,0,204,514,99,0,0,0
231023214730,202,519,100,0,0,0,204,511,99,0,0,0
231023214741,202,517,100,0,0,0,205,513,100,0,0,0
231023214752,202,516,100,0,0,0,205,508,100,0,0,0
231023214804,202,514,97,0,0,0,205,505,97,0,0,0
231023214933,202,505,97,0,0,0,207,498,98,0,0,0
231023214944,202,504,94,0,0,0,207,495,98,0,0,0
231023214956,202,502,94,0,0,0,207,491,95,0,0,0
231023215007,202,501,94,0,0,0,207,491,95,0,0,0
231023215018,202,501,94,0,0,0,207,490,95,0,0,0
231023215029,202,500,94,0,0,0,207,489,95,0,0,0
231023215040,202,500,94,0,0,0,207,485,95,0,0,0
231023215051,202,500,94,0,0,0,207,485,95,0,0,0
231023215103,202,501,94,0,0,0,208,489,96,0,0,0
231023215114,202,502,94,0,0,0,208,483,93,0,0,0
231023215125,202,503,94,0,0,0,208,480,93,0,0,0
231023215136,202,503,94,0,0,0,208,480,93,0,0,0
231023215147,202,505,97,0,0,0,208,485,96,0,0,0
231023215159,202,506,97,0,0,0,209,485,97,0,0,0
231023215210,202,509,97,0,0,0,209,482,94,0,0,0
231023215221,202,512,97,0,0,0,209,480,94,0,0,0
231023215232,202,514,97,0,0,0,209,479,94,0,0,0
231023215243,202,515,100,0,0,0,209,489,97,0,0,0
231023215255,202,516,100,0,0,0,209,488,97,0,0,0
231023215306,202,517,100,0,0,0,209,489,97,0,0,0
231023215435,202,531,102,0,0,0,210,487,98,0,0,0
231023215447,202,534,102,0,0,0,210,488,98,0,0,0
231023215458,202,537,105,0,0,0,210,490,98,0,0,0
231023215509,202,538,105,0,0,0,210,487,98,0,0,0
231023215520,202,541,105,0,0,0,210,491,98,0,0,0
231023215532,202,541,105,0,0,0,211,494,99,0,0,0
231023215543,202,543,105,0,0,0,211,496,102,0,0,0
231023215554,202,545,108,0,0,0,211,497,102,0,0,0
